[2026/06/28 10:00:22.760] DEBUG:      Luminance STD: 86.66 / Contrast: 45.10 / Sharpness: 10.59 / Edge Density: 1.17
[2026/06/28 10:00:22.760] DEBUG:      Entropy: 0.00 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.760] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.760] DEBUG:      = Final Score: 143.52
[2026/06/28 10:00:22.771] DEBUG:    Face detected. Face area ratio: 0.06 (row:5, col:19)
[2026/06/28 10:00:22.774] DEBUG:    Score: (row:5, col:19):
[2026/06/28 10:00:22.774] DEBUG:      Luminance STD: 81.98 / Contrast: 44.27 / Sharpness: 11.85 / Edge Density: 0.00
[2026/06/28 10:00:22.774] DEBUG:      Entropy: 0.00 / Face Size: 1.71 / Color Balance: 0.00
[2026/06/28 10:00:22.774] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.774] DEBUG:      = Final Score: 139.81
[2026/06/28 10:00:22.783] DEBUG:    Score: (row:5, col:20):
[2026/06/28 10:00:22.783] DEBUG:      Luminance STD: 34.67 / Contrast: 20.84 / Sharpness: 4.88 / Edge Density: 0.00
[2026/06/28 10:00:22.783] DEBUG:      Entropy: 14.54 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.783] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.784] DEBUG:      = Final Score: 74.93
[2026/06/28 10:00:22.798] DEBUG:    Face detected. Face area ratio: 0.01 (row:5, col:21)
[2026/06/28 10:00:22.801] DEBUG:    Score: (row:5, col:21):
[2026/06/28 10:00:22.801] DEBUG:      Luminance STD: 71.08 / Contrast: 36.83 / Sharpness: 7.89 / Edge Density: 12.06
[2026/06/28 10:00:22.801] DEBUG:      Entropy: 0.00 / Face Size: 0.28 / Color Balance: 0.00
[2026/06/28 10:00:22.801] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.801] DEBUG:      = Final Score: 128.13
[2026/06/28 10:00:22.820] DEBUG:    Score: (row:5, col:22):
[2026/06/28 10:00:22.820] DEBUG:      Luminance STD: 70.81 / Contrast: 36.86 / Sharpness: 8.87 / Edge Density: 10.00
[2026/06/28 10:00:22.820] DEBUG:      Entropy: 0.00 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.820] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.820] DEBUG:      = Final Score: 126.54
[2026/06/28 10:00:22.834] DEBUG:    Face detected. Face area ratio: 0.15 (row:5, col:23)
[2026/06/28 10:00:22.837] DEBUG:    Score: (row:5, col:23):
[2026/06/28 10:00:22.837] DEBUG:      Luminance STD: 73.02 / Contrast: 36.63 / Sharpness: 8.75 / Edge Density: 9.06
[2026/06/28 10:00:22.837] DEBUG:      Entropy: 0.00 / Face Size: 4.60 / Color Balance: 0.00
[2026/06/28 10:00:22.837] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.837] DEBUG:      = Final Score: 132.06
[2026/06/28 10:00:22.856] DEBUG:    Score: (row:5, col:24):
[2026/06/28 10:00:22.856] DEBUG:      Luminance STD: 73.11 / Contrast: 35.75 / Sharpness: 8.88 / Edge Density: 8.28
[2026/06/28 10:00:22.856] DEBUG:      Entropy: 0.00 / Face Size: 0.00 / Color Balance: 0.00
[2026/06/28 10:00:22.856] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.856] DEBUG:      = Final Score: 126.02
[2026/06/28 10:00:22.871] DEBUG:    Face detected. Face area ratio: 0.01 (row:5, col:25)
[2026/06/28 10:00:22.874] DEBUG:    Score: (row:5, col:25):
[2026/06/28 10:00:22.874] DEBUG:      Luminance STD: 75.09 / Contrast: 40.45 / Sharpness: 18.14 / Edge Density: 13.09
[2026/06/28 10:00:22.874] DEBUG:      Entropy: 0.00 / Face Size: 0.18 / Color Balance: 0.00
[2026/06/28 10:00:22.874] DEBUG:      Solid Color Penalty: -0.00 / Letterbox Penalty: -0.00 / Edge Penalty: -0.00
[2026/06/28 10:00:22.874] DEBUG:      = Final Score: 146.96
[2026/06/28 10:00:22.892] DEBUG:    Face detected. Face area ratio: 0.01 (row:5, col:26)
[2026/06/28 10:00:22.895] DEBUG:    Score: (row:5, col:26):
[2026/06/28 10:00:22.895] DEBUG:      Luminance STD: 83.31 / Contrast: 42.09 / Sharpness: 12.04 / Edge Density: 8.37
[2026/06/28 10:00:22.895] DEBUG:      Entropy: 0.00 / Face Size: 0.43 / Color Balance: 0.00
